CONNECTION,MSG_NAME,DATA_TYPE,FIELD_NAME,DESCRIPTION,UNITS,DIM,INIT_VALUE,RANGE_LOW,RANGE_HIGH,REMARKS,BYTE_OFFSET,BIT_OFFSET
udpConn,NFI35135,U64,varName135,varName135,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,272,0
udpConn,NFI35136,U64,varName136,varName136,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,280,0
udpConn,NFI35137,U64,varName137,varName137,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,288,0
udpConn,NFI35138,U64,varName138,varName138,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,296,0
udpConn,NFI35139,U64,varName139,varName139,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,304,0
udpConn,NFI35140,U64,varName140,varName140,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,312,0
udpConn,NFI35141,U64,varName141,varName141,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,320,0
udpConn,NFI35142,U64,varName142,varName142,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,328,0
udpConn,NFI35143,U64,varName143,varName143,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,336,0
udpConn,NFI35144,U64,varName144,varName144,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,344,0
udpConn,NFI35145,U64,varName145,varName145,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,352,0
udpConn,NFI35146,U64,varName146,varName146,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,360,0
udpConn,NFI36236,U1,varName1236,varName1236,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,368,0
udpConn,NFI36237,U1,varName1237,varName1237,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,368,1
udpConn,NFI36238,U1,varName1238,varName1238,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,368,2
udpConn,NFI36239,U1,varName1239,varName1239,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,368,3
udpConn,NFI36240,U1,varName1240,varName1240,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,368,4
udpConn,NFI36241,U1,varName1241,varName1241,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,368,5
udpConn,NFI36242,U1,varName1242,varName1242,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,368,6
udpConn,NFI36243,U1,varName1243,varName1243,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,368,7
udpConn,NFI36244,U1,varName1244,varName1244,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,369,0
udpConn,NFI36245,U1,varName1245,varName1245,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,369,1
udpConn,NFI36246,U1,varName1246,varName1246,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,369,2
udpConn,NFI36247,U1,varName1247,varName1247,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,369,3
udpConn,NFI36248,U1,varName1248,varName1248,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,369,4
udpConn,NFI36249,U1,varName1249,varName1249,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,369,5
udpConn,NFI36250,U1,varName1250,varName1250,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,369,6
udpConn,NFI36251,U1,varName1251,varName1251,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,369,7
udpConn,NFI36252,U1,varName1252,varName1252,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,370,0
udpConn,NFI36253,U1,varName1253,varName1253,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,370,1
udpConn,NFI36254,U1,varName1254,varName1254,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,370,2
udpConn,NFI36255,U1,varName1255,varName1255,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,370,3
udpConn,NFI36256,U1,varName1256,varName1256,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,370,4
udpConn,NFI36257,U1,varName1257,varName1257,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,370,5
udpConn,NFI36258,U1,varName1258,varName1258,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,370,6
udpConn,NFI36764,S32,varName1764,varName1764,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,370,7
udpConn,NFI36765,S32,varName1765,varName1765,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,374,0
udpConn,NFI36766,S32,varName1766,varName1766,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,378,0
udpConn,NFI36767,S32,varName1767,varName1767,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,382,0
udpConn,NFI36768,S32,varName1768,varName1768,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,386,0
udpConn,NFI36769,S32,varName1769,varName1769,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,390,0
udpConn,NFI36770,S32,varName1770,varName1770,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,394,0
udpConn,NFI36771,S32,varName1771,varName1771,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,398,0
udpConn,NFI36772,S32,varName1772,varName1772,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,402,0
udpConn,NFI36773,S32,varName1773,varName1773,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,406,0
udpConn,NFI36774,S32,varName1774,varName1774,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,410,0
udpConn,NFI36775,S32,varName1775,varName1775,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,414,0
udpConn,NFI36776,S32,varName1776,varName1776,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,418,0
udpConn,NFI36777,S32,varName1777,varName1777,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,422,0
udpConn,NFI36778,S32,varName1778,varName1778,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,426,0
udpConn,NFI36779,S32,varName1779,varName1779,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,430,0
udpConn,NFI36780,S32,varName1780,varName1780,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,434,0
udpConn,NFI36781,S32,varName1781,varName1781,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,438,0
udpConn,NFI36782,S32,varName1782,varName1782,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,442,0
udpConn,NFI36783,S32,varName1783,varName1783,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,446,0
udpConn,NFI37424,S64,varName2424,varName2424,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,450,0
udpConn,NFI37425,S64,varName2425,varName2425,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,458,0
udpConn,NFI37426,S64,varName2426,varName2426,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,466,0
udpConn,NFI37427,S64,varName2427,varName2427,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,474,0
udpConn,NFI37428,S64,varName2428,varName2428,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,482,0
udpConn,NFI37429,S64,varName2429,varName2429,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,490,0
udpConn,NFI37430,S64,varName2430,varName2430,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,498,0
udpConn,NFI37431,S64,varName2431,varName2431,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,506,0
udpConn,NFI37432,S64,varName2432,varName2432,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,514,0
udpConn,NFI37433,S64,varName2433,varName2433,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,522,0
udpConn,NFI37434,S64,varName2434,varName2434,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,530,0
udpConn,NFI37435,S64,varName2435,varName2435,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,538,0
udpConn,NFI37436,S64,varName2436,varName2436,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,546,0
udpConn,NFI37437,S64,varName2437,varName2437,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,554,0
udpConn,NFI37438,S64,varName2438,varName2438,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,562,0
udpConn,NFI37439,S64,varName2439,varName2439,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,570,0
udpConn,NFI37440,S64,varName2440,varName2440,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,578,0
udpConn,NFI37441,S64,varName2441,varName2441,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,586,0
udpConn,NFI37442,S64,varName2442,varName2442,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,594,0
udpConn,NFI37443,S64,varName2443,varName2443,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,602,0
udpConn,NFI37444,S64,varName2444,varName2444,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,610,0
udpConn,NFI37445,S64,varName2445,varName2445,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,618,0
udpConn,NFI37446,S64,varName2446,varName2446,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,626,0
udpConn,NFI37447,S64,varName2447,varName2447,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,634,0
udpConn,NFI38507,U8,varName3507,varName3507,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,642,0
udpConn,NFI38508,U8,varName3508,varName3508,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,643,0
udpConn,NFI38509,U8,varName3509,varName3509,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,644,0
udpConn,NFI38510,U8,varName3510,varName3510,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,645,0
udpConn,NFI38511,U8,varName3511,varName3511,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,646,0
udpConn,NFI38512,U8,varName3512,varName3512,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,647,0
udpConn,NFI38513,U8,varName3513,varName3513,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,648,0
udpConn,NFI38514,U8,varName3514,varName3514,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,649,0
udpConn,NFI38515,U8,varName3515,varName3515,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,650,0
udpConn,NFI38516,U8,varName3516,varName3516,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,651,0
udpConn,NFI38517,U8,varName3517,varName3517,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,652,0
udpConn,NFI38518,U8,varName3518,varName3518,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,653,0
udpConn,NFI38519,U8,varName3519,varName3519,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,654,0
udpConn,NFI38520,U8,varName3520,varName3520,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,655,0
udpConn,NFI38521,U8,varName3521,varName3521,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,656,0
udpConn,NFI38522,U8,varName3522,varName3522,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,657,0
udpConn,NFI38523,U8,varName3523,varName3523,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,658,0
udpConn,NFI38524,U8,varName3524,varName3524,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,659,0
udpConn,NFI38525,U8,varName3525,varName3525,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,660,0
udpConn,NFI38526,U8,varName3526,varName3526,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,661,0
udpConn,NFI39487,U16,varName4487,varName4487,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,662,0
udpConn,NFI39488,U16,varName4488,varName4488,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,664,0
udpConn,NFI39489,U16,varName4489,varName4489,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,666,0
udpConn,NFI39490,U16,varName4490,varName4490,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,668,0
udpConn,NFI39491,U16,varName4491,varName4491,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,670,0
udpConn,NFI39492,U16,varName4492,varName4492,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,672,0
udpConn,NFI39493,U16,varName4493,varName4493,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,674,0
udpConn,NFI39494,U16,varName4494,varName4494,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,676,0
udpConn,NFI39495,U16,varName4495,varName4495,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,678,0
udpConn,NFI39496,U16,varName4496,varName4496,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,680,0
udpConn,NFI39497,U16,varName4497,varName4497,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,682,0
udpConn,NFI39498,U16,varName4498,varName4498,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,684,0
udpConn,NFI39499,U16,varName4499,varName4499,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,686,0
udpConn,NFI39500,U16,varName4500,varName4500,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,688,0
udpConn,NFI39501,U16,varName4501,varName4501,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,690,0
udpConn,NFI39502,U16,varName4502,varName4502,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,692,0
udpConn,NFI39503,U16,varName4503,varName4503,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,694,0
udpConn,NFI39504,U16,varName4504,varName4504,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,696,0
udpConn,NFI39505,U16,varName4505,varName4505,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,698,0
udpConn,NFI40760,U32,varName5760,varName5760,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,700,0
udpConn,NFI40761,U32,varName5761,varName5761,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,704,0
udpConn,NFI40762,U32,varName5762,varName5762,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,708,0
udpConn,NFI40763,U32,varName5763,varName5763,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,712,0
udpConn,NFI40764,U32,varName5764,varName5764,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,716,0
udpConn,NFI40765,U32,varName5765,varName5765,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,720,0
udpConn,NFI40766,U32,varName5766,varName5766,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,724,0
udpConn,NFI40767,U32,varName5767,varName5767,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,728,0
udpConn,NFI40768,U32,varName5768,varName5768,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,732,0
udpConn,NFI40769,U32,varName5769,varName5769,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,736,0
udpConn,NFI40770,U32,varName5770,varName5770,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,740,0
udpConn,NFI40771,U32,varName5771,varName5771,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,744,0
udpConn,NFI40772,U32,varName5772,varName5772,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,748,0
udpConn,NFI40773,U32,varName5773,varName5773,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,752,0
udpConn,NFI40774,U32,varName5774,varName5774,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,756,0
udpConn,NFI40775,U32,varName5775,varName5775,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,760,0
udpConn,NFI40776,U32,varName5776,varName5776,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,764,0
udpConn,NFI40777,U32,varName5777,varName5777,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,768,0
udpConn,NFI40778,U32,varName5778,varName5778,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,772,0
udpConn,NFI40779,U32,varName5779,varName5779,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,776,0
udpConn3,TM1000,F64,mtVar00001,mtVar00001,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,780,0
udpConn3,TM1001,F64,mtVar00002,mtVar00002,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,788,0
udpConn3,TM1002,F64,mtVar00003,mtVar00003,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,796,0
udpConn3,TM1003,F64,mtVar00004,mtVar00004,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,804,0
udpConn3,TM1004,F64,mtVar00005,mtVar00005,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,812,0
udpConn3,TM1005,F64,mtVar00006,mtVar00006,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,820,0
udpConn3,TM1006,F64,mtVar00007,mtVar00007,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,828,0
udpConn3,TM1007,F64,mtVar00008,mtVar00008,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,836,0
udpConn3,TM1008,F64,mtVar00009,mtVar00009,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,844,0
udpConn3,TM1009,F64,mtVar00010,mtVar00010,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,852,0
udpConn3,TM1010,F64,mtVar00011,mtVar00011,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,860,0
udpConn3,TM1011,F64,mtVar00012,mtVar00012,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,868,0
udpConn3,TM1012,F64,mtVar00013,mtVar00013,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,876,0
udpConn3,TM1013,F64,mtVar00014,mtVar00014,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,884,0
udpConn3,TM1014,F64,mtVar00015,mtVar00015,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,892,0
udpConn3,TM1015,F64,mtVar00016,mtVar00016,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,900,0
udpConn3,TM1016,F64,mtVar00017,mtVar00017,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,908,0
udpConn3,TM1017,F64,mtVar00018,mtVar00018,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,916,0
udpConn3,TM1018,F64,mtVar00019,mtVar00019,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,924,0
udpConn3,TM1019,F64,mtVar00020,mtVar00020,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,932,0
udpConn3,TM1020,F64,mtVar00021,mtVar00021,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,940,0
udpConn3,TM1021,F64,mtVar00022,mtVar00022,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,948,0
udpConn3,TM1022,F64,mtVar00023,mtVar00023,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,956,0
udpConn3,TM1023,F64,mtVar00024,mtVar00024,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,964,0
udpConn3,TM1024,F64,mtVar00025,mtVar00025,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,972,0
udpConn3,TM1025,F64,mtVar00026,mtVar00026,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,980,0
udpConn3,TM1026,U64,mtVar00027,mtVar00027,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,988,0
udpConn3,TM1027,U64,mtVar00028,mtVar00028,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,996,0
udpConn3,TM1028,U64,mtVar00029,mtVar00029,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,1004,0
udpConn3,TM1029,U64,mtVar00030,mtVar00030,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,1012,0
udpConn3,TM1030,U64,mtVar00031,mtVar00031,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,1020,0
udpConn3,TM1031,U64,mtVar00032,mtVar00032,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,1028,0
udpConn3,TM1032,U64,mtVar00033,mtVar00033,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,1036,0
udpConn3,TM1033,U64,mtVar00034,mtVar00034,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,1044,0
udpConn3,TM1034,U64,mtVar00035,mtVar00035,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,1052,0
udpConn3,TM1035,U64,mtVar00036,mtVar00036,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,1060,0
udpConn3,TM1036,U64,mtVar00037,mtVar00037,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,1068,0
udpConn3,TM1037,U64,mtVar00038,mtVar00038,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,1076,0
udpConn3,TM1038,U64,mtVar00039,mtVar00039,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,1084,0
udpConn3,TM1039,U64,mtVar00040,mtVar00040,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,1092,0
udpConn3,TM1040,U64,mtVar00041,mtVar00041,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,1100,0
udpConn3,TM1041,U64,mtVar00042,mtVar00042,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,1108,0
udpConn3,TM1042,U64,mtVar00043,mtVar00043,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,1116,0
udpConn3,TM1043,U64,mtVar00044,mtVar00044,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,1124,0
udpConn3,TM1044,U64,mtVar00045,mtVar00045,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,1132,0
udpConn3,TM1045,U64,mtVar00046,mtVar00046,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,1140,0
udpConn3,TM1046,U1,mtVar00047,mtVar00047,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,1148,0
udpConn3,TM1047,U1,mtVar00048,mtVar00048,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,1148,1
udpConn3,TM1048,U1,mtVar00049,mtVar00049,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,1148,2
udpConn3,TM1049,U1,mtVar00050,mtVar00050,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,1148,3
udpConn3,TM1050,U1,mtVar00051,mtVar00051,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,1148,4
udpConn3,TM1051,U1,mtVar00052,mtVar00052,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,1148,5
udpConn3,TM1052,U1,mtVar00053,mtVar00053,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,1148,6
udpConn3,TM1053,U1,mtVar00054,mtVar00054,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,1148,7
udpConn3,TM1054,U1,mtVar00055,mtVar00055,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,1149,0
udpConn3,TM1055,U1,mtVar00056,mtVar00056,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,1149,1
udpConn3,TM1056,U1,mtVar00057,mtVar00057,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,1149,2
udpConn3,TM1057,U1,mtVar00058,mtVar00058,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,1149,3
